FID,INTERACTION_ID,INTERACTIONS
460287,527771,485
684364,684364,483
460287,331026,482
786858,281836,482
702530,8106,481
460287,500474,481
460287,406668,481
324808,9856,478
460287,255345,477
460287,509166,477
324808,194335,475
324808,390479,475
684296,388302,474
460287,514535,473
460287,419625,473
460287,276506,472
460287,478906,472
455932,388302,470
460287,499527,470
460287,512482,469
460287,328924,469
460287,404561,467
460287,435085,465
460287,548943,464
460287,274580,461
460287,214825,460
324808,8245,460
460287,633693,459
460287,2211,459
460287,386213,458
460287,505013,458
460287,509042,455
460287,597938,454
460287,318181,453
460287,343942,452
460287,420958,452
460287,497116,452
460287,211443,451
684296,684296,449
509229,388302,448
460287,424711,447
460287,393610,447
460287,398438,445
460287,268455,444
460287,448920,444
460287,411286,443
460287,480682,443
460287,276036,442
509388,388302,442
460287,359338,440
460287,513149,440
460287,461302,438
537227,428498,438
460287,501651,438
460287,488767,435
460287,315112,434
460287,496614,434
460287,221578,433
460287,202689,433
460287,248216,433
460287,401099,432
460287,442331,432
460287,492693,431
509124,509124,431
396644,210657,429
460287,392018,427
460287,418671,427
415856,388302,426
600714,600714,425
460287,428669,425
460287,474644,424
460287,198783,423
515809,388302,423
460287,511479,422
460287,324790,421
460287,13336,421
460287,508261,420
460287,542598,419
821550,234434,418
460287,365209,418
460287,412582,416
460287,348944,416
460287,378411,416
507503,15141,414
460287,501246,413
460287,391114,412
460287,777877,410
545189,531162,409
460287,192631,408
460287,382384,407
460287,394930,407
460287,3827,407
449143,388302,406
324808,5380,403
460287,525389,403
460287,373934,402
786858,688917,402
460287,375536,401
20596,20589,401
460287,405729,401
460287,421163,399
460287,236636,397
786858,14839,397
324808,208239,396
472896,531162,396
460287,235512,395
460287,278406,394
460287,417554,394
545091,531162,394
460287,543988,393
460287,434222,393
460287,609977,392
354795,781098,392
460287,398388,392
657052,640054,391
460287,5406,391
460287,431089,390
786858,509305,390
460287,7472,388
460287,511753,388
460287,379676,388
460287,508994,388
324808,259525,387
460287,301385,386
460287,416398,384
460287,448043,384
460287,501832,384
324808,245965,384
460287,428341,384
460287,461943,383
460287,446852,383
460287,414259,382
401987,388302,381
533957,15141,381
758580,15141,381
324808,194092,381
460287,419719,380
460287,501667,380
460287,360623,380
460287,422334,380
473086,820270,380
